日本語,中国語,発音（カタカナ）
ようこそ北京へ,欢迎来到北京,ファンインラエタオペイチン
ようこそシンシーへ,欢迎来到信息,ファンインラエタオシンシー
中国,中国,チョンッグウォー
日本,日本,リーベン
日本へようこそ,欢迎来到日本,
私の名前は将大です,我叫将大,ウォーチャオツィアゥンッダァ
私の名前は筈谷将大です,我叫筈谷将大,ウォーチャオクオクーツィアゥンッダァ
私の名前は,我叫,ウォーチャオ
大清帝国,大清帝国,タアチンティークオ
東京大学,东京大学,トンチンタアシュエ
北京大学,北京大学,ペイチンタアシュエ
唯一無二,独一无二,ドゥーイーウーワ
現在,现在,ツィエンツァイ
日本名は,日本名字是,リーベンミンツゥシィ
私の日本語の名前は,我的日文名字是,ウォーダリーウェンミンツゥシィ
日本出身です,我来自日本,ウォーライツィリーベン
高校生です,我是高中生,ウォーシィガオチョンシュン
愛国主義者,爱国主义者,アエクオチューイーチューウ
根っからの,彻头彻尾的,trァートウtrァーウェイダ
日本語、英語、少し中国語を話せます,我会说日语，英语，和一点中文,ウォーフイシュオリーユー、インユー、フゥイーディエンチョンウェン
少しだけできます,会一点点,フイイーディエンディエン
〇〇語を話せますか,你会说〇〇吗,ニーフイシュオ〇〇マ
中国語,中国话,チョングオーフア
標準語,普通话,プートンフア
漢語,汉语,ハンユウ
簡体字,简体字,ツィエンティツゥ
繁体字,简体字,ファンティツゥ
みなさん、こんにちは,大家好,ターチャーハオ
はい,是的,シーダ
おいしい,好吃,ハオtrィー
本当に美味しい,真好吃,チュンハオtrィ
おいしすぎる,太好吃了,タイハオtrィーラ
本当に美味しそう,看起来真好吃,カンツィライチュンハオtrィ
理恵子,理惠子,リーフイツウ
戻ってくる,回来,フイラエ
ただいま,我回来了,ウォーフイラエラ
おかえり,欢迎回来,ファンインフイラエ
いってきます,我出门了,ウォーtrューマンラ
いってらっしゃい,慢走,マンツォウ
中国人,中国人,チョンッグウォーレン？
日本人,日本人,リーベンレン？
おはよう,早上好,ザオシャンハオ
おやすみ,晚安,ワンアン,カアアー
しているところだ,正在,チュンツァエ,カアカア
勉強する,学习,シュエ？シィ？,ハア？ハア？
